CT,X1_CRIM,X2_NOX,X3_AGE,X4_DIS,X5_RM,X6_LSTAT,X7_RAD,X8_ CHAS,X9_NDUS,X10_TAX,X11_PT,Y_MV,GROUP,X12_RLZ
1,0.00632,0.538,65.2,4.0900,6.575,4.98,1,0,2.31,296,15.3,24.0,M,18.0
2,0.02731,0.469,78.9,4.9671,6.421,9.14,2,0,7.07,242,17.8,21.6,T,0.0
3,0.02729,0.469,61.1,4.9671,7.185,4.03,2,0,7.07,242,17.8,34.7,M,0.0
4,0.03237,0.458,45.8,6.0622,6.998,2.94,3,0,2.18,222,18.7,33.4,M,0.0
5,0.06905,0.458,54.2,6.0622,7.147,5.33,3,0,2.18,222,18.7,36.2,M,0.0
6,0.02985,0.458,58.7,6.0622,6.430,5.21,3,0,2.18,222,18.7,28.7,M,0.0
7,0.08829,0.524,66.6,5.5605,6.012,12.43,5,0,7.87,311,15.2,22.9,T,12.5
8,0.14455,0.524,96.1,5.9505,6.172,19.15,5,0,7.87,311,15.2,27.1,M,12.5
9,0.21124,0.524,100.0,6.0821,5.631,29.93,5,0,7.87,311,15.2,16.5,M,12.5
10,0.17004,0.524,85.9,6.5921,6.004,17.10,5,0,7.87,311,15.2,18.9,M,12.5
11,0.22489,0.524,94.3,6.3467,6.377,20.45,5,0,7.87,311,15.2,15.0,M,12.5
12,0.11747,0.524,82.9,6.2267,6.009,13.27,5,0,7.87,311,15.2,18.9,M,12.5
13,0.09378,0.524,39.0,5.4509,5.889,15.71,5,0,7.87,311,15.2,21.7,T,12.5
14,0.62976,0.538,61.8,4.7075,5.949,8.26,4,0,8.14,307,21.0,20.4,M,0.0
15,0.63796,0.538,84.5,4.4619,6.096,10.26,4,0,8.14,307,21.0,18.2,T,0.0
16,0.62739,0.538,56.5,4.4986,5.834,8.47,4,0,8.14,307,21.0,19.9,M,0.0
17,1.05393,0.538,29.3,4.4986,5.935,6.58,4,0,8.14,307,21.0,23.1,M,0.0
18,0.78420,0.538,81.7,4.2579,5.990,14.67,4,0,8.14,307,21.0,17.5,M,0.0
19,0.80271,0.538,36.6,3.7965,5.456,11.69,4,0,8.14,307,21.0,20.2,M,0.0
20,0.72580,0.538,69.5,3.7965,5.727,11.28,4,0,8.14,307,21.0,18.2,M,0.0
21,1.25179,0.538,98.1,3.7979,5.570,21.02,4,0,8.14,307,21.0,13.6,M,0.0
22,0.85204,0.538,89.2,4.0123,5.965,13.83,4,0,8.14,307,21.0,19.6,M,0.0
23,1.23247,0.538,91.7,3.9769,6.142,18.72,4,0,8.14,307,21.0,15.2,M,0.0
24,0.98843,0.538,100.0,4.0952,5.813,19.88,4,0,8.14,307,21.0,14.5,M,0.0
25,0.75026,0.538,94.1,4.3996,5.924,16.30,4,0,8.14,307,21.0,15.6,M,0.0
26,0.84054,0.538,85.7,4.4546,5.599,16.51,4,0,8.14,307,21.0,13.9,M,0.0
27,0.67191,0.538,90.3,4.6820,5.813,14.81,4,0,8.14,307,21.0,16.6,M,0.0
28,0.95577,0.538,88.8,4.4534,6.047,17.28,4,0,8.14,307,21.0,14.8,M,0.0
29,0.77299,0.538,94.4,4.4547,6.495,12.80,4,0,8.14,307,21.0,18.4,M,0.0
30,1.00245,0.538,87.3,4.2390,6.674,11.98,4,0,8.14,307,21.0,21.0,T,0.0
31,1.13081,0.538,94.1,4.2330,5.713,22.60,4,0,8.14,307,21.0,12.7,M,0.0
32,1.35472,0.538,100.0,4.1750,6.072,13.04,4,0,8.14,307,21.0,14.5,M,0.0
33,1.38799,0.538,82.0,3.9900,5.950,27.71,4,0,8.14,307,21.0,13.2,M,0.0
34,1.15172,0.538,95.0,3.7872,5.701,18.35,4,0,8.14,307,21.0,13.1,T,0.0
35,1.61282,0.538,96.9,3.7598,6.096,20.34,4,0,8.14,307,21.0,13.5,M,0.0
36,0.06417,0.499,68.2,3.3603,5.933,9.68,5,0,5.96,279,19.2,18.9,M,0.0
37,0.09744,0.499,61.4,3.3779,5.841,11.41,5,0,5.96,279,19.2,20.0,M,0.0
38,0.08014,0.499,41.5,3.9342,5.850,8.77,5,0,5.96,279,19.2,21.0,M,0.0
39,0.17505,0.499,30.2,3.8473,5.966,10.13,5,0,5.96,279,19.2,24.7,M,0.0
40,0.02763,0.428,21.8,5.4011,6.595,4.32,3,0,2.95,252,18.3,30.8,M,75.0
41,0.03359,0.428,15.8,5.4011,7.024,1.98,3,0,2.95,252,18.3,34.9,M,75.0
42,0.12744,0.448,2.9,5.7209,6.770,4.84,3,0,6.91,233,17.9,26.6,M,0.0
43,0.14150,0.448,6.6,5.7209,6.169,5.81,3,0,6.91,233,17.9,25.3,M,0.0
44,0.15936,0.448,6.5,5.7209,6.211,7.44,3,0,6.91,233,17.9,24.7,M,0.0
45,0.12269,0.448,40.0,5.7209,6.069,9.55,3,0,6.91,233,17.9,21.2,M,0.0
46,0.17142,0.448,33.8,5.1004,5.682,10.21,3,0,6.91,233,17.9,19.3,M,0.0
47,0.18836,0.448,33.3,5.1004,5.786,14.15,3,0,6.91,233,17.9,20.0,M,0.0
48,0.22927,0.448,85.5,5.6894,6.030,18.80,3,0,6.91,233,17.9,16.6,M,0.0
49,0.25387,0.448,95.3,5.8700,5.399,30.81,3,0,6.91,233,17.9,14.4,M,0.0
50,0.21977,0.448,62.0,6.0877,5.602,16.20,3,0,6.91,233,17.9,19.4,M,0.0
