ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
1,train,5,OK,rouge,7.4,0.70,0.00,1.90,0.076,11.0,34,0.99780,3.51,0.56,9.40
2,validate,5,OK,rouge,7.8,0.88,0.00,2.60,0.098,25.0,67,0.99680,3.20,0.68,9.80
3,validate,5,OK,rouge,7.8,0.76,0.04,2.30,0.092,15.0,54,0.99700,3.26,0.65,9.80
4,train,6,OK,rouge,11.2,0.28,0.56,1.90,0.075,17.0,60,0.99800,3.16,0.58,9.80
5,train,5,OK,rouge,7.4,0.70,0.00,1.90,0.076,11.0,34,0.99780,3.51,0.56,9.40
6,train,5,OK,rouge,7.4,0.66,0.00,1.80,0.075,13.0,40,0.99780,3.51,0.56,9.40
7,train,5,OK,rouge,7.9,0.60,0.06,1.60,0.069,15.0,59,0.99640,3.30,0.46,9.40
8,train,7,Bon,rouge,7.3,0.65,0.00,1.20,0.065,15.0,21,0.99460,3.39,0.47,10.00
9,train,7,Bon,rouge,7.8,0.58,0.02,2.00,0.073,9.0,18,0.99680,3.36,0.57,9.50
10,train,5,OK,rouge,7.5,0.50,0.36,6.10,0.071,17.0,102,0.99780,3.35,0.80,10.50
11,validate,5,OK,rouge,6.7,0.58,0.08,1.80,0.097,15.0,65,0.99590,3.28,0.54,9.20
12,validate,5,OK,rouge,7.5,0.50,0.36,6.10,0.071,17.0,102,0.99780,3.35,0.80,10.50
13,validate,5,OK,rouge,5.6,0.62,0.00,1.60,0.089,16.0,59,0.99430,3.58,0.52,9.90
14,test,5,OK,rouge,7.8,0.61,0.29,1.60,0.114,9.0,29,0.99740,3.26,1.56,9.10
15,train,5,OK,rouge,8.9,0.62,0.18,3.80,0.176,52.0,145,0.99860,3.16,0.88,9.20
16,train,5,OK,rouge,8.9,0.62,0.19,3.90,0.170,51.0,148,0.99860,3.17,0.93,9.20
17,validate,7,Bon,rouge,8.5,0.28,0.56,1.80,0.092,35.0,103,0.99690,3.30,0.75,10.50
18,train,5,OK,rouge,8.1,0.56,0.28,1.70,0.368,16.0,56,0.99680,3.11,1.28,9.30
19,train,4,Mauvais,rouge,7.4,0.59,0.08,4.40,0.086,6.0,29,0.99740,3.38,0.50,9.00
20,validate,6,OK,rouge,7.9,0.32,0.51,1.80,0.341,17.0,56,0.99690,3.04,1.08,9.20
21,validate,6,OK,rouge,8.9,0.22,0.48,1.80,0.077,29.0,60,0.99680,3.39,0.53,9.40
22,test,5,OK,rouge,7.6,0.39,0.31,2.30,0.082,23.0,71,0.99820,3.52,0.65,9.70
23,test,5,OK,rouge,7.9,0.43,0.21,1.60,0.106,10.0,37,0.99660,3.17,0.91,9.50
24,train,5,OK,rouge,8.5,0.49,0.11,2.30,0.084,9.0,67,0.99680,3.17,0.53,9.40
25,validate,6,OK,rouge,6.9,0.40,0.14,2.40,0.085,21.0,40,0.99680,3.43,0.63,9.70
26,validate,5,OK,rouge,6.3,0.39,0.16,1.40,0.080,11.0,23,0.99550,3.34,0.56,9.30
27,train,5,OK,rouge,7.6,0.41,0.24,1.80,0.080,4.0,11,0.99620,3.28,0.59,9.50
28,train,5,OK,rouge,7.9,0.43,0.21,1.60,0.106,10.0,37,0.99660,3.17,0.91,9.50
29,train,5,OK,rouge,7.1,0.71,0.00,1.90,0.080,14.0,35,0.99720,3.47,0.55,9.40
30,train,6,OK,rouge,7.8,0.65,0.00,2.00,0.082,8.0,16,0.99640,3.38,0.59,9.80
31,train,5,OK,rouge,6.7,0.68,0.07,2.40,0.089,17.0,82,0.99580,3.35,0.54,10.10
32,train,6,OK,rouge,6.9,0.69,0.00,2.50,0.105,22.0,37,0.99660,3.46,0.57,10.60
33,validate,5,OK,rouge,8.3,0.66,0.12,2.30,0.083,15.0,113,0.99660,3.17,0.66,9.80
34,train,6,OK,rouge,6.9,0.61,0.12,10.70,0.073,40.0,83,0.99930,3.45,0.52,9.40
35,train,5,OK,rouge,5.2,0.32,0.25,1.80,0.103,13.0,50,0.99570,3.38,0.55,9.20
36,validate,6,OK,rouge,7.8,0.65,0.00,5.50,0.086,5.0,18,0.99860,3.40,0.55,9.60
37,validate,6,OK,rouge,7.8,0.60,0.14,2.40,0.086,3.0,15,0.99750,3.42,0.60,10.80
38,train,7,Bon,rouge,8.1,0.38,0.28,2.10,0.066,13.0,30,0.99680,3.23,0.73,9.70
39,test,4,Mauvais,rouge,5.7,1.13,0.09,1.50,0.172,7.0,19,0.99400,3.50,0.48,9.80
40,train,5,OK,rouge,7.3,0.45,0.36,5.90,0.074,12.0,87,0.99780,3.33,0.83,10.50
41,test,5,OK,rouge,7.3,0.45,0.36,5.90,0.074,12.0,87,0.99780,3.33,0.83,10.50
42,train,4,Mauvais,rouge,8.8,0.61,0.30,2.80,0.088,17.0,46,0.99760,3.26,0.51,9.30
